round,winner,results,year,gender,player1,player2,firstServe1,firstServe2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,break1,break2,return1,return2,net1,net2
First,Nicolas Almagro,6-4 6-4 3-6 5-7 6-3,2009,m,Nicolas Almagro,Nicolas Massu,60%,64%,83%,74%,58%,58%,44%,43%,32%,27%,71%,61%
First,Jo-Wilfried Tsonga,6-4 6-4 6-0,2009,m,Jo-Wilfried Tsonga,Juan Monaco,47%,64%,84%,53%,63%,41%,70%,67%,51%,27%,80%,53%
First,Richard Gasquet,6-7(5) 7-6(3) 6-3 6-4,2009,m,Richard Gasquet,Diego Junqueira,58%,65%,79%,69%,59%,45%,28%,30%,40%,29%,63%,47%
First,Marcel Granollers,6-4 7-6(3) 4-6 6-0,2009,m,Marcel Granollers,Teimuraz Gabashvili,63%,49%,73%,69%,50%,43%,50%,40%,43%,36%,60.0%,59.0%
First,Ivo Karlovic,6-3 6-4 6-4,2009,m,Ivo Karlovic,Daniel Gimeno-Traver,55%,84%,87%,67%,65%,43%,30%,0%,37%,23%,nan%,nan%
First,Jurgen Melzer,7-5 6-2 6-1,2009,m,Jurgen Melzer,Kei Nishikori,60%,57%,83%,51%,52%,45%,64%,29%,52%,29%,63%,24%
First,Chris Guccione,6-4 6-2 6-4,2009,m,Chris Guccione,Nicolas Devilder,61%,61%,80%,54%,59%,55%,38%,50%,45%,28%,61%,50%
First,Dudi Sela,1-6 6-2 6-4 6-4,2009,m,Dudi Sela,Rainer Schuettler,72%,79%,69%,57%,40%,41%,37%,50%,46%,39%,60.0%,58.0%
First,Gilles Simon,6-4 6-1 6-1,2009,m,Gilles Simon,Pablo Andujar,48%,57%,65%,50%,55%,41%,47%,25%,54%,40%,48%,48%
First,Flavio Cipolla,4-6 6-2 7-6(7) 7-5,2009,m,Flavio Cipolla,Dmitry Tursunov,68%,56%,65%,68%,47%,49%,38%,24%,40%,40%,74.0%,59.0%
First,Guillermo Canas,3-6 7-5 5-7 6-0 7-5,2009,m,Guillermo Canas,Dieter Kindlmann,51%,64%,78%,60%,50%,45%,41%,50%,45%,36%,71.0%,62.0%
First,Rafael Nadal,6-0 6-2 6-2,2009,m,Rafael Nadal,Christophe Rochus,69%,65%,91%,57%,75%,24%,64%,34.0%,54%,14%,89%,50%
First,Paul-Henri Mathieu,6-2 4-1 ret.,2009,m,Paul-Henri Mathieu,Jarkko Nieminen,58%,52%,80%,56%,67%,60%,60%,38.0%,42%,26%,73.0%,59.0%
First,Marcos Baghdatis,6-3 7-6(5) 6-2,2009,m,Marcos Baghdatis,Julien Benneteau,43%,61%,78%,65%,53%,41%,38%,13%,44%,37%,79%,42%
First,Stanislas Wawrinka,6-1 2-6 7-5 7-6(9),2009,m,Stanislas Wawrinka,Ivo Minar,59%,59%,68%,66%,48%,42%,70%,43%,44%,40%,72.0%,64.0%
First,Xavier Malisse,7-6(8) 6-1 6-1,2009,m,Xavier Malisse,Michael Llodra,70%,62%,79%,59%,52%,53%,28%,0%,44%,29%,71.0%,55.0%
First,Novak Djokovic,6-2 6-3 7-5,2009,m,Novak Djokovic,Andrea Stoppini,68%,54%,68%,56%,58%,41%,39%,50%,51%,35%,47%,59%
First,Philipp Kohlschreiber,7-6(6) 6-3 6-2,2009,m,Philipp Kohlschreiber,Sam Querrey,64%,54%,77%,73%,54%,63%,60%,0%,32%,33%,69%,64%
First,Andy Roddick,6-0 6-2 6-2,2009,m,Andy Roddick,Bjorn Rehnquist,54%,57%,76%,51%,69%,32%,70%,28.0%,57%,27%,63%,63%
First,Mardy Fish,6-7(3) 6-4 7-5 6-0,2009,m,Mardy Fish,Samuel Groth,57%,57%,89%,66%,50%,45%,41%,100%,43%,28%,63%,48%
First,Jeremy Chardy,6-4 6-4 6-1,2009,m,Jeremy Chardy,Marcos Daniel,62%,55%,80%,65%,63%,34%,40%,100%,49%,27%,75.0%,56.0%
First,Guillermo Garcia-Lopez,3-6 7-6(5) 6-2 6-0,2009,m,Guillermo Garcia-Lopez,Agustin Calleri,61%,57%,64%,66%,55%,33%,56%,50%,48%,40%,59.0%,68.0%
First,Tommy Robredo,6-2 7-5 6-1,2009,m,Tommy Robredo,Bobby Reynolds,69%,59%,81%,67%,95%,35%,60%,33.0%,46%,15%,75.0%,63.0%
First,Viktor Troicki,6-3 3-6 6-2 6-4,2009,m,Viktor Troicki,Alberto Martin,61%,57%,78%,67%,55%,50%,55%,38%,41%,31%,72.0%,62.0%
First,Yen-Hsun Lu,6-3 7-5 6-4,2009,m,Yen-Hsun Lu,Thomaz Bellucci,55%,58%,78%,76%,54%,53%,100%,8%,34%,33%,67.0%,67.0%
First,Bernard Tomic,7-6(5) 1-6 7-6(5) 7-6(6),2009,m,Bernard Tomic,Potito Starace,64%,67%,66%,75%,62%,45%,23%,71%,35%,36%,62%,66%
First,Fabrice Santoro,6-3 6-2 6-7(5) 6-2,2009,m,Fabrice Santoro,Juan Carlos Ferrero,47%,56%,84%,69%,48%,39%,100%,43%,45%,36%,70%,71%
First,Robin Soderling,5-7 6-4 6-4 7-5,2009,m,Robin Soderling,Robert Kendrick,68%,61%,83%,81%,72%,47%,43%,17%,32%,20%,71.0%,64.0%
First,Brydan Klein,6-4 6-3 4-6 6-3,2009,m,Brydan Klein,Bjorn Phau,63%,49%,76%,71%,41%,47%,50%,57%,42%,37%,63%,71%
First,Dominik Hrbaty,7-6(4) 2-6 6-2 7-5,2009,m,Dominik Hrbaty,John Isner,67%,64%,74%,77%,59%,40%,33%,67%,36%,31%,67.0%,59.0%
First,Marin Cilic,6-3 6-2 6-7(4) 6-3,2009,m,Marin Cilic,Kevin Anderson,51%,60%,88%,67%,48%,45%,43%,22%,42%,32%,73.0%,58.0%
First,Florian Mayer,6-2 6-1 6-2,2009,m,Florian Mayer,Lamine Ouahab,58%,51%,78%,62%,66%,26%,50%,100%,56%,28%,74.0%,63.0%
First,Tomas Berdych,6-4 6-4 6-3,2009,m,Tomas Berdych,Robby Ginepri,63%,65%,82%,64%,57%,39%,36%,20%,45%,27%,71%,55%
First,Evgeny Korolev,6-3 6-1 7-6(7),2009,m,Evgeny Korolev,Carlos Moya,60%,44%,90%,80%,48%,33%,45%,50%,46%,27%,71%,80%
First,Marat Safin,6-3 6-3 6-4,2009,m,Marat Safin,Ivan Navarro,48%,53%,85%,75%,59%,44%,67%,0%,40%,29%,59%,35%
First,David Ferrer,6-1 6-7(6) 6-1 6-7(4) 6-4,2009,m,David Ferrer,Denis Gremelmayr,54%,52%,72%,66%,54%,43%,40%,25%,45%,36%,67%,66%
First,Brian Dabul,6-1 6-2 6-4,2009,m,Brian Dabul,Philipp Petzschner,80%,68%,77%,65%,60%,19%,60%,33%,50%,26%,63.0%,63.0%
First,David Nalbandian,6-1 4-6 6-2 6-3,2009,m,David Nalbandian,Marc Gicquel,58%,50%,71%,63%,47%,45%,47%,20%,46%,39%,66%,63%
First,Janko Tipsarevic,4-6 6-1 6-3 4-6 6-0,2009,m,Janko Tipsarevic,Oscar Hernandez,58%,56%,77%,66%,45%,38%,53%,17%,43%,36%,67.0%,67.0%
First,Juan Martin Del Potro,6-3 6-4 6-2,2009,m,Juan Martin Del Potro,Mischa Zverev,65%,61%,70%,56%,66%,43%,43%,33%,49%,31%,82%,45%
First,Simone Bolelli,7-6(5) 7-6(3) 7-5,2009,m,Simone Bolelli,Kristof Vliegen,54%,53%,78%,74%,69%,71%,40%,50%,27%,26%,70.0%,57.0%
First,Amer Delic,6-4 3-6 4-6 6-3 6-4,2009,m,Amer Delic,Taylor Dent,74%,68%,76%,80%,47%,48%,43%,40%,30%,31%,68.0%,57.0%
First,Roger Federer,6-1 7-6(4) 7-5,2009,m,Roger Federer,Andreas Seppi,59%,60%,76%,68%,57%,50%,30%,0%,41%,33%,72%,68%
Second,Guillermo Canas,6-1 4-6 2-6 7-6(2) 6-4,2004,m,Guillermo Canas,Agustin Calleri,55%,55%,61%,65%,49%,39%,43%,60%,47%,44%,68%,67%
Second,David Nalbandian,6-1 6-0 6-3,2004,m,David Nalbandian,Florian Mayer,70%,68%,71%,48%,44%,37%,47%,17%,55%,37%,81%,63%
Second,Jiri Novak,6-2 7-6(3) 6-4,2004,m,Jiri Novak,Jan Vacek,74%,62%,73%,61%,52%,48%,45%,40%,44%,32%,61%,53%
Second,Wayne Ferreira,2-6 6-3 6-4 6-4,2004,m,Wayne Ferreira,David Sanchez-Munoz,69%,64%,66%,66%,55%,49%,31%,43%,40%,37%,63%,50%
Second,Joachim Johansson,7-6(5) 6-3 7-5,2004,m,Joachim Johansson,Alberto Martin,63%,63%,83%,75%,56%,40%,50%,50%,38%,27%,65%,67%
Second,Andrei Pavel,6-4 6-4 6-2,2004,m,Andrei Pavel,Glenn Weiner,63%,57%,78%,76%,47%,29%,71%,20%,44%,33%,55%,42%
Second,Juan Carlos Ferrero,6-4 7-6(3) 7-5,2004,m,Juan Carlos Ferrero,Filippo Volandri,58%,61%,73%,63%,51%,45%,60%,80%,44%,36%,67%,79%
Second,Lleyton Hewitt,1-6 6-1 6-4 6-1,2004,m,Lleyton Hewitt,Karol Kucera,60%,55%,60%,54%,54%,39%,60%,56%,52%,42%,82%,52%
Second,Jurgen Melzer,6-3 6-4 6-3,2004,m,Jurgen Melzer,Galo Blanco,62%,59%,79%,69%,43%,44%,50%,0%,41%,35%,63%,59%
Second,Olivier Patience,7-6(2) 6-7(7) 6-3 6-2,2004,m,Olivier Patience,Nikolay Davydenko,68%,72%,72%,62%,50%,51%,40%,33%,41%,35%,62%,58%
Second,Andy Roddick,6-2 6-2 6-3,2004,m,Andy Roddick,Bohdan Ulihrach,65%,51%,93%,67%,61%,43%,56%,0%,45%,18%,67%,67%
Second,Robby Ginepri,6-4 6-3 6-3,2004,m,Robby Ginepri,Chris Guccione,66%,62%,89%,78%,70%,37%,50%,24.0%,38%,18%,70%,53%
Second,Taylor Dent,3-6 6-4 4-6 7-6(4) 7-5,2004,m,Taylor Dent,Juan Ignacio Chela,56%,60%,62%,64%,48%,46%,41%,56%,43%,44%,63%,76%
Second,Paradorn Srichaphan,6-3 ret.,2004,m,Paradorn Srichaphan,Jerome Golmard,69%,46%,78%,82%,42%,54%,100%,0%,33%,33%,83%,67%
Second,James Blake,6-3 7-6(4) 2-6 6-1,2004,m,James Blake,Nicolas Lapentti,62%,64%,73%,70%,54%,50%,19%,20%,37%,35%,57%,66%
Second,Gustavo Kuerten,7-5 6-7(5) 6-4 6-3,2004,m,Gustavo Kuerten,Ivan Ljubicic,58%,57%,72%,70%,53%,44%,62%,63%,41%,36%,67%,70%
Second,Dominik Hrbaty,6-1 7-5 6-0,2004,m,Dominik Hrbaty,Gaston Gaudio,61%,58%,79%,51%,50%,29%,57%,29%,58%,32%,58%,69%
Second,Sjeng Schalken,6-3 6-2 5-7 6-1,2004,m,Sjeng Schalken,David Ferrer,73%,62%,69%,53%,37%,42%,48%,50%,51%,40%,60%,62%
Second,Todd Martin,7-6(4) 7-6(4) 7-6(7),2004,m,Todd Martin,Ivo Karlovic,66%,64%,75%,84%,68%,48%,0%,0%,29%,27%,72%,52%
Second,Marat Safin,7-6(5) 6-4 4-6 6-4,2004,m,Marat Safin,Jarkko Nieminen,61%,67%,83%,72%,52%,54%,33%,15%,34%,29%,69%,71%
Second,Andre Agassi,6-0 6-2 6-4,2004,m,Andre Agassi,Tomas Berdych,73%,60%,76%,62%,60%,36%,75%,0%,49%,28%,43%,67%
Second,Nicolas Escude,6-3 7-6(4) 6-4,2004,m,Nicolas Escude,Robin Soderling,71%,58%,80%,72%,58%,47%,38%,0%,39%,27%,73%,59%
Second,Thomas Enqvist,7-5 4-6 6-3 6-4,2004,m,Thomas Enqvist,Karol Beck,54%,50%,72%,77%,49%,41%,40%,36%,41%,38%,71%,64%
Second,Sebastien Grosjean,6-4 6-3 6-2,2004,m,Sebastien Grosjean,Jan-Michael Gambill,42%,54%,94%,67%,60%,42%,42%,0%,45%,26%,93%,51%
First,Alex Corretja,6-4 1-6 6-3 6-4,2004,m,Alex Corretja,Martin Verkerk,59%,56%,82%,83%,52%,43%,43%,33%,35%,30%,89%,55%
First,Filippo Volandri,6-3 4-6 6-3 6-4,2004,m,Filippo Volandri,Nicolas Kiefer,57%,55%,63%,71%,64%,47%,38%,27%,39%,37%,74%,64%
First,Todd Reid,6-2 6-3 6-2,2004,m,Todd Reid,Vadim Kutsenko,73%,61%,87%,58%,59%,42%,55%,100%,48%,20%,75%,65%
First,Thierry Ascione,7-5 6-1 7-6(3),2004,m,Thierry Ascione,Felix Mantilla,66%,61%,83%,69%,63%,47%,27%,17%,40%,24%,61%,62%
First,Mario Ancic,6-7(4) 6-4 3-6 6-4 6-3,2004,m,Mario Ancic,Raemon Sluiter,58%,58%,79%,77%,65%,57%,50%,100%,31%,27%,61%,75%
First,Florian Mayer,7-5 6-4 6-3,2004,m,Florian Mayer,Richard Gasquet,55%,59%,78%,72%,74%,54%,57%,0%,36%,24%,79%,74%
First,David Nalbandian,6-2 6-1 6-4,2004,m,David Nalbandian,Ricardo Mello,64%,69%,81%,64%,63%,35%,71%,0%,45%,26%,71%,58%
First,Hicham Arazi,7-5 2-6 6-0 6-3,2004,m,Hicham Arazi,Olivier Mutis,56%,58%,74%,68%,60%,45%,50%,44%,41%,32%,50%,51%
First,Andrei Pavel,6-7(2) 6-3 6-2 7-6(2),2004,m,Andrei Pavel,Max Mirnyi,72%,57%,73%,71%,64%,49%,23%,0%,38%,29%,69%,53%
First,Radek Stepanek,6-7(3) 3-6 6-2 6-3 6-3,2004,m,Radek Stepanek,Davide Sanguinetti,64%,60%,78%,65%,48%,58%,44%,30%,38%,33%,57%,53%
First,Jan Vacek,6-2 3-6 6-3 6-4,2004,m,Jan Vacek,Ruben Ramirez-Hidalgo,59%,54%,73%,75%,67%,41%,36%,20%,40%,29%,71%,65%
First,Jeff Morrison,6-4 6-2 6-4,2004,m,Jeff Morrison,Dennis Van Scheppingen,54%,45%,83%,54%,54%,50%,75%,67%,48%,30%,63%,67%
First,Sargis Sargsian,6-2 6-3 6-1,2004,m,Sargis Sargsian,Jonas Bjorkman,71%,56%,65%,51%,64%,35%,53%,33%,56%,35%,87%,41%
First,Glenn Weiner,7-6(3) 4-6 6-3 3-6 6-4,2004,m,Glenn Weiner,Jeff Salzenstein,57%,63%,78%,80%,62%,52%,43%,25%,30%,29%,63%,63%
First,Alberto Martin,3-6 4-6 7-6(3) 6-4 6-2,2004,m,Alberto Martin,Feliciano Lopez,69%,56%,72%,74%,74%,49%,15%,67%,37%,27%,52%,52%
First,Wayne Ferreira,6-4 3-6 7-6(3) 6-1,2004,m,Wayne Ferreira,Victor Hanescu,63%,73%,64%,61%,71%,51%,25%,67%,42%,33%,59%,64%
First,Roger Federer,6-3 6-4 6-0,2004,m,Roger Federer,Alex Jr. Bogomolov,60%,67%,80%,65%,74%,33%,56%,37.0%,46%,22%,83%,67%
First,Mark Philippoussis,7-6(6) 6-2 7-6(4),2004,m,Mark Philippoussis,Thomas Johansson,64%,61%,80%,76%,53%,47%,38%,33%,35%,30%,67%,63%
First,Tim Henman,6-2 6-4 6-2,2004,m,Tim Henman,Jean-Rene Lisnard,58%,45%,80%,68%,77%,48%,50%,0%,43%,21%,75%,47%
First,Juan Carlos Ferrero,6-0 6-1 6-1,2004,m,Juan Carlos Ferrero,Albert Montanes,58%,59%,84%,43%,52%,31%,45%,100%,62%,29%,67%,57%
First,Agustin Calleri,6-1 3-6 6-3 7-5,2004,m,Agustin Calleri,Christophe Rochus,53%,65%,82%,68%,56%,38%,45%,22%,42%,30%,57%,71%
First,Rafael Nadal,6-1 6-2 6-2,2004,m,Rafael Nadal,Michal Tabara,58%,48%,78%,62%,63%,38%,60%,0%,51%,28%,73%,42%
First,David Sanchez-Munoz,6-7(1) 7-6(5) 4-6 6-4 6-3,2004,m,David Sanchez-Munoz,Wesley Moodie,70%,69%,68%,71%,57%,48%,33%,36%,36%,35%,65%,57%
First,Joachim Johansson,6-4 7-6(3) 6-4,2004,m,Joachim Johansson,Alexander Popp,71%,66%,83%,73%,65%,56%,29%,18.0%,33%,22%,65%,33%
First,Cyril Saulnier,7-6(7) 6-2 6-4,2004,m,Cyril Saulnier,Guillermo Coria,51%,68%,76%,63%,60%,50%,36%,10%,41%,31%,67%,67%
First,Karol Kucera,6-2 6-3 6-4,2004,m,Karol Kucera,Xavier Malisse,57%,48%,78%,72%,53%,43%,71%,50%,43%,33%,75%,50%
First,Fabrice Santoro,7-5 4-6 7-5 6-1,2004,m,Fabrice Santoro,Peter Luczak,57%,66%,82%,62%,65%,56%,24%,13%,40%,25%,63%,61%
First,Guillermo Canas,6-2 6-2 6-4,2004,m,Guillermo Canas,Sebastien de Chaunac,66%,56%,86%,58%,46%,54%,56%,0%,44%,27%,64%,57%
First,Wayne Arthurs,7-6(2) 6-4 6-7(2) 6-7(5) 6-2,2004,m,Wayne Arthurs,Roko Karanusic,57%,65%,84%,74%,59%,61%,33%,33%,31%,27%,64%,63%
First,Jiri Novak,6-3 6-3 7-5,2004,m,Jiri Novak,Olivier Rochus,69%,62%,76%,57%,43%,38%,58%,38%,51%,34%,50%,73%
First,Lleyton Hewitt,6-2 6-4 0-1 ret.,2004,m,Lleyton Hewitt,Cecil Mamiit,56%,50%,82%,56%,64%,63%,43%,0%,41%,26%,53%,80%
First,Albert Costa,6-4 6-3 6-4,2004,m,Albert Costa,Greg Rusedski,67%,58%,73%,69%,46%,39%,55%,43%,44%,36%,50%,45%
First,Gustavo Kuerten,5-7 6-0 6-1 2-6 8-6,2004,m,Gustavo Kuerten,John van Lottum,54%,57%,73%,63%,46%,42%,83%,41%,46%,39%,75%,76%
First,Andre Agassi,6-1 6-3 6-4,2004,m,Andre Agassi,Todd Larkham,56%,72%,79%,56%,53%,44%,50%,25%,48%,32%,75%,64%
First,Andy Roddick,6-2 7-5 7-6(4),2004,m,Andy Roddick,Fernando Gonzalez,57%,64%,84%,68%,57%,44%,25%,20%,40%,28%,60%,71%
First,Ivo Karlovic,7-6(0) 7-6(5) 7-6(4),2004,m,Ivo Karlovic,Mardy Fish,66%,63%,83%,85%,52%,63%,0%,0%,23%,28%,54%,85%
First,Tomas Berdych,6-4 6-2 5-7 6-3,2004,m,Tomas Berdych,Nicolas Mahut,56%,45%,76%,65%,47%,45%,33%,33%,46%,37%,59%,64%
First,Bohdan Ulihrach,6-4 3-6 6-2 6-1,2004,m,Bohdan Ulihrach,Lars Burgsmuller,66%,60%,75%,63%,49%,42%,33%,33%,46%,34%,82%,53%
First,Jurgen Melzer,6-1 6-2 6-2,2004,m,Jurgen Melzer,Tomas Behrend,61%,65%,79%,58%,76%,31%,46%,0%,51%,22%,65%,73%
First,Jerome Golmard,7-6(3) 6-4 6-1,2004,m,Jerome Golmard,Albert Portas,57%,55%,82%,69%,53%,40%,55%,67%,44%,31%,67%,90%
First,Taylor Dent,6-2 6-1 2-1 ret.,2004,m,Taylor Dent,Fernando Verdasco,45%,55%,87%,41%,64%,54%,63%,0%,53%,25%,69%,75%
First,Sebastien Grosjean,6-1 6-4 7-5,2004,m,Sebastien Grosjean,Mikhail Youzhny,45%,54%,84%,60%,61%,49%,50%,33%,45%,29%,63%,60%
First,Gaston Gaudio,6-3 6-2 7-6(6),2004,m,Gaston Gaudio,Tommy Robredo,63%,51%,71%,61%,53%,52%,42%,20%,43%,36%,70%,55%
First,Nicolas Escude,6-3 7-6(5) 6-2,2004,m,Nicolas Escude,Hyung-Taik Lee,57%,53%,75%,63%,50%,36%,46%,38%,50%,36%,63%,63%
First,Todd Martin,4-6 4-6 7-6(5) 7-6(4) 6-3,2004,m,Todd Martin,Antony Dupuis,63%,60%,76%,80%,58%,49%,50%,57%,32%,30%,60%,68%
First,Nicolas Lapentti,6-1 6-3 6-1,2004,m,Nicolas Lapentti,Oscar Hernandez,72%,62%,81%,56%,69%,32%,54%,0%,53%,22%,76%,58%
First,Sjeng Schalken,7-5 6-3 6-1,2004,m,Sjeng Schalken,Kenneth Carlsen,83%,59%,75%,71%,53%,41%,63%,0%,41%,28%,65%,67%
First,Galo Blanco,4-1 ret.,2004,m,Galo Blanco,Younes El Aynaoui,53%,67%,88%,50%,43%,25%,40%,0%,58%,33%,nan%,nan%
First,Paradorn Srichaphan,7-5 6-4 6-0,2004,m,Paradorn Srichaphan,Jose Acasuso,54%,57%,86%,56%,62%,54%,56%,0%,45%,25%,63%,60%
First,Dominik Hrbaty,6-3 6-3 6-3,2004,m,Dominik Hrbaty,Flavio Saretta,71%,48%,67%,65%,70%,37%,50%,40%,49%,33%,57%,75%
First,Jan-Michael Gambill,6-2 6-3 ret.,2004,m,Jan-Michael Gambill,Gregory Carraz,67%,48%,79%,67%,58%,46%,43%,0%,44%,28%,53%,67%
First,Robin Soderling,4-6 4-6 7-5 6-3 6-4,2004,m,Robin Soderling,Rainer Schuettler,64%,63%,71%,71%,56%,53%,33%,50%,36%,34%,60%,71%
First,Thomas Enqvist,4-6 6-4 6-4 7-6(6),2004,m,Thomas Enqvist,Vince Spadea,58%,62%,78%,66%,48%,60%,40%,50%,36%,35%,65%,40%
First,Marat Safin,6-2 3-6 6-3 6-4,2004,m,Marat Safin,Brian Vahaly,58%,59%,74%,67%,59%,49%,45%,25%,40%,32%,62%,64%
First,Chris Guccione,6-3 7-6(3) 6-2,2004,m,Chris Guccione,Alun Jones,53%,59%,80%,70%,55%,46%,29%,20%,40%,31%,65%,60%
First,Jarkko Nieminen,6-1 6-7(5) 6-2 6-3,2004,m,Jarkko Nieminen,Nicolas Massu,62%,59%,71%,62%,56%,38%,57%,17%,47%,35%,68%,59%
First,Ivan Ljubicic,7-6(2) 6-4 5-7 6-2,2004,m,Ivan Ljubicic,Dmitry Tursunov,59%,54%,67%,66%,70%,57%,27%,40%,38%,32%,68%,50%
First,David Ferrer,7-6(4) 6-1 6-3,2004,m,David Ferrer,Gilles Muller,55%,51%,79%,69%,50%,39%,75%,29%,46%,34%,55%,55%
First,Karol Beck,6-4 6-0 2-6 6-4,2004,m,Karol Beck,Stefan Koubek,52%,71%,81%,55%,35%,35%,62%,56%,50%,41%,81%,50%
First,Olivier Patience,4-6 4-6 7-6(4) 6-1 6-2,2004,m,Olivier Patience,Igor Andreev,58%,51%,69%,72%,54%,50%,44%,80%,39%,37%,68%,73%
First,Nikolay Davydenko,6-7(6) 4-6 6-4 6-1 6-2,2004,m,Nikolay Davydenko,Arnaud Clement,71%,52%,70%,70%,46%,50%,35%,16%,40%,37%,52%,56%
First,Robby Ginepri,7-5 6-3 6-3,2004,m,Robby Ginepri,Luis Horna,57%,64%,82%,64%,57%,47%,25%,20%,43%,29%,60%,60%
First,James Blake,6-1 6-4 6-4,2004,m,James Blake,Ivan Miranda,56%,63%,74%,64%,59%,41%,45%,13%,45%,32%,68%,50%
First,Juan Ignacio Chela,6-4 6-3 3-6 6-3,2004,m,Juan Ignacio Chela,Irakli Labadze,71%,70%,66%,68%,56%,39%,83%,33%,40%,37%,50%,68%
Final,Stanislas Wawrinka,6-3 6-2 3-6 6-3,2014,m,Stanislas Wawrinka,Rafael Nadal,55%,78%,87%,60%,51%,42%,33%,33%,44%,29%,92%,63%
semi,Rafael Nadal,7-6(4) 6-3 6-3,2014,m,Rafael Nadal,Roger Federer,65%,66%,73%,65%,73%,50%,29%,50%,40%,27%,30%,55%
semi,Stanislas Wawrinka,6-3 6-7(1) 7-6(3) 7-6(4),2014,m,Stanislas Wawrinka,Tomas Berdych,61%,62%,82%,82%,56%,57%,25%,0%,28%,28%,78%,74%
quarter,Rafael Nadal,3-6 7-6(3) 7-6(7) 6-2,2014,m,Rafael Nadal,Grigor Dimitrov,73%,58%,73%,71%,67%,49%,36%,50%,38%,29%,89%,68%
quarter,Roger Federer,6-3 6-4 6-7(6) 6-3,2014,m,Roger Federer,Andy Murray,64%,61%,78%,67%,64%,49%,24%,50%,40%,27%,74%,63%
quarter,Stanislas Wawrinka,2-6 6-4 6-2 3-6 9-7,2014,m,Stanislas Wawrinka,Novak Djokovic,58%,73%,72%,71%,50%,59%,50%,57%,32%,37%,67%,74%
quarter,Tomas Berdych,6-1 6-4 2-6 6-4,2014,m,Tomas Berdych,David Ferrer,52%,61%,78%,64%,44%,50%,38%,25%,42%,39%,64%,92%
Fourth,Andy Murray,6-1 6-2 6-7(6) 6-2,2014,m,Andy Murray,Stephane Robert,62%,51%,76%,67%,52%,39%,50%,17%,46%,33%,67%,65%
Fourth,Rafael Nadal,7-6(3) 7-5 7-6(3),2014,m,Rafael Nadal,Kei Nishikori,71%,66%,76%,67%,39%,41%,63%,40%,42%,35%,53%,80%
Fourth,Roger Federer,6-3 7-5 6-4,2014,m,Roger Federer,Jo-Wilfried Tsonga,57%,52%,88%,70%,69%,55%,43%,0%,38%,20%,83%,44%
Fourth,Grigor Dimitrov,6-3 3-6 6-2 6-4,2014,m,Grigor Dimitrov,Roberto Bautista-Agut,60%,64%,85%,68%,47%,59%,80%,20%,35%,30%,66%,57%
Fourth,Novak Djokovic,6-3 6-0 6-2,2014,m,Novak Djokovic,Fabio Fognini,72%,59%,88%,59%,71%,35%,27%,35.0%,51%,17%,75%,69%
Fourth,Stanislas Wawrinka,6-3 7-6(3) 7-6(5),2014,m,Stanislas Wawrinka,Tommy Robredo,56%,71%,90%,70%,51%,45%,40%,25%,37%,27%,68%,81%
Fourth,Tomas Berdych,6-2 6-2 6-3,2014,m,Tomas Berdych,Kevin Anderson,52%,72%,89%,63%,62%,38%,29%,28.0%,44%,24%,83%,32%
Fourth,David Ferrer,6-7(5) 7-5 6-2 6-1,2014,m,David Ferrer,Florian Mayer,63%,61%,74%,55%,55%,46%,47%,27%,48%,33%,70%,52%
Third,Roberto Bautista-Agut,6-2 6-1 6-4,2014,m,Roberto Bautista-Agut,Benoit Paire,83%,58%,71%,63%,54%,29%,35%,29%,52%,32%,79%,50%
Third,Roger Federer,6-2 6-2 6-3,2014,m,Roger Federer,Teimuraz Gabashvili,62%,69%,87%,60%,57%,36%,36%,0%,47%,25%,55%,37%
Third,Andy Murray,7-6(2) 6-4 6-2,2014,m,Andy Murray,Feliciano Lopez,64%,57%,86%,70%,48%,47%,36%,100%,40%,27%,61%,70%
Third,Grigor Dimitrov,6-3 3-6 6-4 7-6(10),2014,m,Grigor Dimitrov,Milos Raonic,60%,59%,83%,74%,75%,59%,50%,33%,32%,20%,80%,42%
Third,Kei Nishikori,7-5 6-1 6-0,2014,m,Kei Nishikori,Donald Young,54%,64%,71%,49%,60%,27%,67%,25%,59%,34%,43%,50%
Third,Jo-Wilfried Tsonga,7-6(5) 6-4 6-2,2014,m,Jo-Wilfried Tsonga,Gilles Simon,66%,53%,80%,79%,65%,58%,50%,0%,31%,25%,74%,82%
Third,Stephane Robert,6-0 7-6(2) 6-4,2014,m,Stephane Robert,Martin Klizan,72%,53%,86%,65%,46%,48%,40%,0%,43%,25%,82%,62%
Third,Rafael Nadal,6-1 6-2 6-3,2014,m,Rafael Nadal,Gael Monfils,67%,69%,72%,57%,77%,33%,50%,0%,50%,27%,69%,44%
Third,Kevin Anderson,3-6 4-6 6-3 7-6(5) 7-5,2014,m,Kevin Anderson,Edouard Roger-Vasselin,67%,74%,76%,72%,52%,44%,25%,43%,35%,32%,73%,59%
Third,Tommy Robredo,2-6 7-5 6-4 7-6(6),2014,m,Tommy Robredo,Richard Gasquet,65%,62%,78%,72%,43%,53%,43%,33%,36%,35%,72%,77%
Third,David Ferrer,6-2 7-6(5) 6-2,2014,m,David Ferrer,Jeremy Chardy,72%,58%,70%,69%,71%,36%,45%,33%,45%,30%,83%,63%
Third,Tomas Berdych,6-4 6-2 6-2,2014,m,Tomas Berdych,Damir Dzumhur,57%,44%,90%,71%,61%,39%,56%,0%,47%,22%,72%,56%
