round,winner,results,year,gender,player1,player2,firstServe1,firstServe2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,break1,break2,return1,return2,net1,net2
Second,Nathan Healey,6-4 6-7(4) 6-3 6-4,2006,m,Nathan Healey,Amer Delic,60%,55%,74%,82%,63%,54%,43%,0%,30%,30%,63%,57%
Second,Kristof Vliegen,3-6 6-2 7-6(4) 7-5,2006,m,Kristof Vliegen,Fernando Verdasco,67%,60%,68%,67%,41%,42%,32%,38%,43%,41%,55%,70%
Second,Juan Ignacio Chela,6-4 6-4 6-7(8) 6-2,2006,m,Juan Ignacio Chela,Lleyton Hewitt,64%,55%,63%,65%,64%,43%,38%,31%,45%,36%,62%,72%
Second,Igor Andreev,3-6 6-3 7-6(4) 2-6 6-2,2006,m,Igor Andreev,Raemon Sluiter,68%,58%,70%,68%,52%,58%,56%,45%,37%,36%,56%,76%
Second,Peter Luczak,6-7(4) 6-4 6-1 6-7(1) 6-1,2006,m,Peter Luczak,Olivier Rochus,69%,59%,75%,73%,50%,44%,50%,50%,39%,33%,55%,77%
Second,Luis Horna,6-3 6-2 6-1,2006,m,Luis Horna,Bjorn Phau,71%,52%,83%,55%,47%,33%,70%,50%,56%,28%,89%,40%
Second,Tommy Haas,6-0 6-1 6-2,2006,m,Tommy Haas,Paul Goldstein,54%,60%,94%,66%,65%,20%,78%,0%,52%,19%,83%,33%
Second,Nicolas Kiefer,4-6 6-1 6-4 6-1,2006,m,Nicolas Kiefer,Boris Pashanski,51%,55%,79%,58%,48%,40%,56%,44%,50%,36%,67%,66%
Second,Guillermo Coria,7-6(10) 6-4 6-3,2006,m,Guillermo Coria,Federico Luzzi,78%,56%,68%,65%,46%,43%,28%,30%,45%,37%,63%,56%
Second,Dominik Hrbaty,6-2 7-5 5-7 4-6 10-8,2006,m,Dominik Hrbaty,Dick Norman,59%,57%,80%,67%,48%,45%,26%,55%,43%,33%,71%,62%
Second,Sebastien Grosjean,6-4 6-3 6-3,2006,m,Sebastien Grosjean,Juan Monaco,45%,61%,87%,49%,49%,62%,86%,33%,46%,34%,77%,57%
Second,Max Mirnyi,7-5 6-3 4-6 7-6(8),2006,m,Max Mirnyi,Davide Sanguinetti,66%,59%,71%,67%,63%,59%,33%,29%,36%,32%,60%,63%
Second,Paul-Henri Mathieu,6-0 7-6(5) 6-2,2006,m,Paul-Henri Mathieu,Alex Jr. Bogomolov,49%,64%,88%,57%,54%,36%,37%,100%,50%,30%,86%,60%
Second,Nikolay Davydenko,4-6 6-0 6-3 6-2,2006,m,Nikolay Davydenko,Kevin Kim,79%,59%,67%,64%,67%,37%,57%,60%,47%,33%,75%,50%
Second,Juan Carlos Ferrero,6-3 3-6 5-7 6-3 6-2,2006,m,Juan Carlos Ferrero,Janko Tipsarevic,62%,50%,74%,67%,53%,46%,35%,100%,44%,34%,75%,60%
Second,Roger Federer,6-1 6-4 6-0,2006,m,Roger Federer,Florian Mayer,61%,64%,76%,52%,62%,44%,60%,0%,51%,30%,80%,53%
Second,David Ferrer,6-4 6-4 6-7(5) 6-2,2006,m,David Ferrer,Daniele Bracciali,66%,51%,65%,52%,49%,55%,69%,42%,51%,41%,56%,68%
Second,Denis Gremelmayr,2-6 5-7 6-4 6-3 6-3,2006,m,Denis Gremelmayr,Robby Ginepri,50%,66%,67%,67%,46%,45%,67%,33%,41%,44%,81%,63%
Second,Gaston Gaudio,6-3 6-2 6-3,2006,m,Gaston Gaudio,Lars Burgsmuller,55%,50%,76%,71%,64%,35%,55%,20%,49%,30%,67%,51%
Second,Ivan Ljubicic,7-5 6-2 6-1,2006,m,Ivan Ljubicic,Philipp Kohlschreiber,52%,46%,70%,58%,62%,49%,44%,40%,49%,36%,70%,61%
Second,Gilles Simon,6-3 6-2 4-6 6-2,2006,m,Gilles Simon,Tomas Berdych,49%,46%,73%,65%,54%,45%,78%,21%,49%,38%,77%,58%
Second,Thomas Johansson,6-3 3-6 7-5 4-6 6-3,2006,m,Thomas Johansson,Xavier Malisse,53%,47%,75%,75%,53%,54%,45%,40%,36%,35%,80%,67%
Second,Andy Roddick,7-5 6-3 6-2,2006,m,Andy Roddick,Wesley Moodie,62%,72%,85%,62%,69%,73%,44%,0%,36%,22%,50%,57%
Second,James Blake,2-6 6-1 6-4 6-3,2006,m,James Blake,Jean-Christophe Faurel,55%,61%,77%,64%,51%,43%,47%,50%,47%,36%,67%,63%
Second,David Nalbandian,6-4 3-6 6-4 6-2,2006,m,David Nalbandian,Stanislas Wawrinka,66%,55%,66%,65%,72%,57%,33%,8%,40%,34%,67%,69%
Second,Tommy Robredo,7-6(4) 3-6 7-6(5) 6-3,2006,m,Tommy Robredo,Dmitry Tursunov,73%,54%,69%,78%,65%,44%,67%,33%,39%,33%,83%,59%
Second,Feliciano Lopez,6-2 6-4 6-7(6) 6-4,2006,m,Feliciano Lopez,Gilles Muller,61%,65%,80%,66%,50%,52%,38%,67%,40%,33%,64%,58%
Second,Jarkko Nieminen,6-2 7-6(3) 6-2,2006,m,Jarkko Nieminen,Jimmy Wang,62%,50%,72%,63%,70%,41%,67%,20%,49%,30%,67%,54%
Second,Mario Ancic,6-1 6-4 6-4,2006,m,Mario Ancic,Jan Hernych,63%,65%,91%,61%,64%,62%,27%,49.0%,40%,20%,84%,53%
Second,Fabrice Santoro,6-4 6-1 6-4,2006,m,Fabrice Santoro,Andrei Pavel,59%,65%,69%,56%,46%,38%,64%,23%,52%,41%,68%,52%
Second,Julien Benneteau,6-4 7-6(3) 6-1,2006,m,Julien Benneteau,Guillermo Garcia-Lopez,75%,55%,78%,70%,60%,56%,25%,0%,39%,29%,73%,47%
Second,Marcos Baghdatis,6-4 6-3 3-6 0-6 7-5,2006,m,Marcos Baghdatis,Radek Stepanek,51%,57%,72%,67%,57%,54%,42%,55%,39%,35%,47%,59%
First,Florian Mayer,6-4 6-1 4-6 6-4,2006,m,Florian Mayer,Hyung-Taik Lee,50%,63%,78%,51%,43%,52%,64%,71%,49%,39%,74%,50%
First,Dominik Hrbaty,3-6 4-6 6-2 6-1 6-3,2006,m,Dominik Hrbaty,Oliver Marach,58%,48%,70%,67%,55%,37%,43%,67%,49%,36%,77%,59%
